iter	Passed	Remaining
760	5816	1826
761	5825	1819
762	5834	1812
763	5843	1805
764	5853	1798
765	5862	1791
766	5871	1783
767	5881	1776
768	5890	1769
769	5899	1762
770	5909	1755
771	5918	1747
772	5927	1740
773	5936	1733
774	5945	1726
775	5947	1716
776	5956	1709
777	5966	1702
778	5975	1695
779	5984	1688
780	5994	1680
781	6003	1673
782	6012	1666
783	6022	1659
784	6031	1652
785	6041	1644
786	6050	1637
787	6059	1630
788	6068	1622
789	6078	1615
790	6087	1608
791	6096	1601
792	6106	1593
793	6115	1586
794	6124	1579
795	6134	1572
796	6143	1564
797	6152	1557
798	6161	1550
799	6170	1542
800	6179	1535
801	6189	1528
802	6198	1520
803	6207	1513
804	6217	1506
805	6226	1498
806	6227	1489
807	6237	1482
808	6238	1472
809	6248	1465
810	6257	1458
811	6266	1450
812	6276	1443
813	6286	1436
814	6295	1429
815	6304	1421
816	6314	1414
817	6331	1408
818	6341	1401
819	6351	1394
820	6360	1386
821	6369	1379
822	6379	1371
823	6380	1362
824	6390	1355
825	6399	1348
826	6408	1340
827	6418	1333
828	6427	1325
829	6436	1318
830	6446	1310
831	6455	1303
832	6465	1296
833	6474	1288
834	6483	1281
835	6492	1273
836	6502	1266
837	6512	1259
838	6522	1251
839	6531	1244
840	6540	1236
841	6550	1229
842	6559	1221
843	6568	1214
844	6578	1206
845	6587	1199
846	6597	1191
847	6599	1182
848	6608	1175
849	6618	1167
850	6627	1160
851	6628	1151
852	6638	1144
853	6647	1136
854	6657	1128
855	6666	1121
856	6675	1113
857	6685	1106
858	6694	1098
859	6695	1090
860	6705	1082
861	6715	1075
862	6717	1066
863	6727	1058
864	6736	1051
865	6745	1043
866	6747	1035
867	6756	1027
868	6765	1019
869	6775	1012
870	6778	1003
871	6782	995
872	6791	988
873	6801	980
874	6810	972
875	6819	965
876	6829	957
877	6838	950
878	6848	942
879	6857	935
880	6866	927
881	6875	919
882	6885	912
883	6888	903
884	6890	895
885	6899	887
886	6900	879
887	6910	871
888	6919	863
889	6928	856
890	6937	848
891	6947	841
892	6948	832
893	6957	824
894	6959	816
895	6968	808
896	6977	801
897	6986	793
898	6995	785
899	7004	778
900	7013	770
901	7023	763
902	7032	755
903	7040	747
904	7050	740
905	7059	732
906	7069	724
907	7078	717
908	7087	709
909	7097	701
910	7106	694
911	7115	686
912	7125	678
913	7134	671
914	7144	663
915	7150	655
916	7160	648
917	7169	640
918	7178	632
919	7187	625
920	7197	617
921	7206	609
922	7215	601
923	7225	594
924	7234	586
925	7244	578
926	7253	571
927	7260	563
928	7269	555
929	7278	547
930	7287	540
931	7297	532
932	7306	524
933	7322	517
934	7331	509
935	7341	501
936	7350	494
937	7360	486
938	7369	478
939	7379	471
940	7388	463
941	7397	455
942	7406	447
943	7415	439
944	7424	432
945	7434	424
946	7443	416
947	7452	408
