iter	RMSE
595	0.1859468618
596	0.1859003911
597	0.1858687651
598	0.1858687637
599	0.1857598556
600	0.1857003306
601	0.1855747695
602	0.1853896179
603	0.1852172528
604	0.185171264
605	0.1850078747
606	0.1849852213
607	0.1849852203
608	0.1848590725
609	0.1848590717
610	0.184768597
611	0.184652966
612	0.184604309
613	0.1845378325
614	0.1844391561
615	0.1844391551
616	0.184370519
617	0.184370518
618	0.1842830541
619	0.1841652278
620	0.1840571952
621	0.1840070209
622	0.1839029159
623	0.1839029154
624	0.1839029149
625	0.1838485663
626	0.183848566
627	0.1838485657
628	0.1837202413
629	0.1835698692
630	0.1835698689
631	0.1834174473
632	0.1834174469
633	0.1833328381
634	0.1832477073
635	0.1831678171
636	0.1831678166
637	0.1830470157
638	0.1829733376
639	0.1829733373
640	0.182973337
641	0.1829153116
642	0.1828709457
643	0.1827987678
644	0.1827358814
645	0.1827024799
646	0.1826870135
647	0.1826870135
648	0.1826870135
649	0.1826740587
650	0.1826740587
651	0.1826331958
652	0.1825798244
653	0.1825798244
654	0.1825798244
655	0.1824730108
656	0.1824730108
657	0.1824730108
658	0.1824730108
659	0.1824276048
660	0.1823010235
661	0.1821807197
662	0.1821807197
663	0.1820861763
664	0.1820193738
665	0.1819163669
666	0.1819163669
667	0.1818172407
668	0.1817392671
669	0.181739267
670	0.181739267
671	0.1816807015
672	0.1816807014
673	0.1816807014
674	0.1815996959
675	0.1814868979
676	0.1814868977
677	0.1813731112
678	0.181373111
679	0.1813731109
680	0.1813731108
681	0.1813731107
682	0.1813731106
683	0.1812674859
684	0.1812674858
685	0.1812674858
686	0.1812674857
687	0.1812647249
688	0.1812647248
689	0.1812523912
690	0.1812521606
691	0.1812521605
692	0.1810754564
693	0.1810754562
694	0.1810754561
695	0.1809991607
696	0.1809991606
697	0.1809554057
698	0.1808958316
699	0.1808100805
700	0.18081008
701	0.1807249569
702	0.1806012437
703	0.1806012434
704	0.1806012432
705	0.180517423
706	0.1804355927
707	0.1804355926
708	0.1804355924
709	0.1804172842
710	0.1803356941
711	0.180176827
712	0.180176827
713	0.1801072153
714	0.1800676069
715	0.1800676067
716	0.1800676066
717	0.1799820125
718	0.1799820124
719	0.1799820122
720	0.1799820121
721	0.1798846126
722	0.1797437524
723	0.179651859
724	0.1796518588
725	0.1796003871
726	0.179600387
727	0.1796003869
728	0.1796003868
729	0.1795458679
730	0.1794446525
731	0.1792892316
732	0.1792265549
733	0.1790667821
734	0.1790667821
735	0.1789783561
736	0.1789783561
737	0.178978356
738	0.178869594
739	0.1787326991
740	0.1786631354
741	0.1786631352
742	0.178663135
743	0.1786631348
744	0.1785895529
745	0.1784379307
746	0.1783605694
747	0.1782691137
748	0.1781954274
749	0.1780881023
750	0.1780564987
751	0.1779754961
752	0.1777223401
753	0.1776783198
754	0.1776783195
755	0.1775959733
756	0.1774694821
757	0.1774043682
758	0.1773881806
759	0.1773881804
760	0.1773345371
761	0.1772988456
762	0.1771135345
763	0.1769841467
764	0.1768337514
765	0.1767039352
766	0.1766867729
767	0.1765948523
768	0.1765075653
769	0.1764419586
770	0.1764065426
771	0.176320677
772	0.1762778959
773	0.1761698304
774	0.1760208194
775	0.1760208193
776	0.1759793279
777	0.1758789276
778	0.1757278303
779	0.175591502
780	0.1755498586
781	0.1755133351
782	0.1754861128
783	0.1753309774
784	0.1752532672
785	0.1751793539
786	0.1751082942
787	0.1749728913
788	0.1748997201
789	0.1748730348
790	0.1747969952
791	0.1746458138
792	0.1745000981
793	0.1744315634
794	0.1743644564
795	0.1743218715
796	0.1742165987
797	0.1741107805
798	0.1740866479
799	0.174073337
800	0.1740245747
801	0.1739421069
802	0.1739180711
803	0.1738608829
804	0.1737103571
805	0.1735736308
806	0.1735736302
807	0.1735439067
808	0.1735439061
809	0.1734165584
810	0.1733369164
811	0.1733145166
812	0.1732143718
813	0.1731474329
814	0.1730434978
815	0.1729477796
816	0.1728734482
817	0.1727736187
818	0.1727336239
819	0.1726450831
820	0.1726250448
821	0.1726020775
822	0.1725126659
823	0.1725126651
824	0.1723442673
825	0.1722799037
826	0.1722596399
827	0.1722282633
828	0.1721539028
829	0.1720643145
830	0.1720343567
831	0.1718482349
832	0.1716945207
833	0.1716266213
834	0.1715509072
835	0.1714726406
836	0.1714112
837	0.1713625464
838	0.171267576
839	0.1712100943
840	0.1711417157
841	0.1710638147
842	0.171050148
843	0.1710380373
844	0.170941813
845	0.1708562129
846	0.1708271421
847	0.1708270894
848	0.1707849659
849	0.1707345578
850	0.1707272137
851	0.1707272128
852	0.1706527957
853	0.1706249526
854	0.1705942949
855	0.1705607026
856	0.1705211729
857	0.1703480455
858	0.1702399003
859	0.1702398994
860	0.1702081707
861	0.1701503444
862	0.1701503074
863	0.1700808749
864	0.1700233941
865	0.1699497514
866	0.1699497503
867	0.1698403075
868	0.1697854997
869	0.1697346825
870	0.1697340388
871	0.1697334284
872	0.1695150219
873	0.1694988992
874	0.1694655482
875	0.1694255336
876	0.169298794
877	0.1692156042
878	0.1691087561
879	0.1690524875
880	0.1689751557
881	0.1689042152
882	0.1688087484
883	0.1688086968
884	0.1688086963
885	0.168601694
886	0.1686016933
887	0.1685265103
888	0.1684719053
889	0.1684417275
890	0.1683180875
891	0.1681756973
892	0.1681756971
893	0.1680821085
894	0.1680821083
895	0.1680289499
896	0.1679501078
897	0.1679016654
898	0.1678285002
899	0.1677536342
900	0.1677256477
901	0.1676847433
902	0.1676621033
903	0.1676365672
904	0.1675992591
905	0.1675012918
906	0.1674718374
907	0.1674047026
908	0.1673221641
909	0.1671712287
910	0.1670703853
911	0.1670195081
912	0.1669406196
913	0.1669214561
914	0.1668566967
915	0.1668555467
916	0.1667460864
917	0.1666723168
918	0.1665459166
919	0.1665147605
920	0.1664551595
921	0.1663805115
922	0.1663480886
923	0.1661888077
924	0.1660843438
925	0.1660021595
926	0.1659455612
927	0.1659452805
928	0.1658777586
929	0.1657861768
930	0.1656882386
931	0.1656018597
932	0.1655532439
933	0.1654963991
934	0.1654111324
935	0.1653375828
936	0.1652199447
937	0.1651985854
938	0.16506679
939	0.1650168794
940	0.1648818778
941	0.1647846659
942	0.1647097263
943	0.1646482893
944	0.1645525784
945	0.1645337901
946	0.1644721804
947	0.1644592051
948	0.1644445023
949	0.1643802279
950	0.1643622289
951	0.1643577068
952	0.164247833
953	0.1641919081
954	0.1640764041
955	0.1639770003
956	0.1639288524
957	0.1639038601
958	0.1638859908
959	0.1638086869
960	0.1637631104
961	0.1637058266
962	0.1635997404
963	0.163542788
964	0.1634801422
965	0.1633336286
966	0.1632736805
967	0.1631782304
968	0.1631273747
969	0.1630370286
970	0.1629894655
971	0.1628485718
972	0.162755307
973	0.1627028162
974	0.1626646307
975	0.1624764753
976	0.1624267466
977	0.1623015083
978	0.1621717613
979	0.1621500514
980	0.1620735359
981	0.1620175879
982	0.1619098159
983	0.161820036
984	0.1617299841
985	0.1617164039
986	0.161702795
987	0.1616776883
988	0.1616487696
989	0.1615841225
990	0.1615654019
991	0.1614565126
992	0.1613487146
993	0.1613388383
994	0.1613079276
995	0.161275491
996	0.1611995005
997	0.1611598406
998	0.1611319142
999	0.1610518553
