iter	Passed	Remaining
712	3519	1416
713	3525	1412
714	3530	1407
715	3532	1401
716	3535	1395
717	3539	1390
718	3541	1384
719	3545	1378
720	3551	1374
721	3553	1368
722	3558	1363
723	3562	1357
724	3567	1353
725	3570	1347
726	3574	1342
727	3581	1338
728	3583	1332
729	3585	1326
730	3587	1320
731	3595	1316
732	3599	1311
733	3601	1305
734	3607	1300
735	3613	1296
736	3617	1290
737	3620	1285
738	3624	1280
739	3630	1275
740	3634	1270
741	3640	1265
742	3643	1260
743	3648	1255
744	3654	1250
745	3659	1246
746	3665	1241
747	3671	1236
748	3677	1232
749	3679	1226
750	3684	1221
751	3690	1217
752	3693	1211
753	3695	1205
754	3696	1199
755	3699	1193
756	3701	1188
757	3707	1183
758	3709	1177
759	3711	1172
760	3717	1167
761	3721	1162
762	3726	1157
763	3728	1151
764	3734	1147
765	3739	1142
766	3741	1136
767	3746	1131
768	3749	1126
769	3751	1120
770	3753	1114
771	3756	1109
772	3759	1103
773	3761	1098
774	3763	1092
775	3765	1086
776	3771	1082
777	3773	1076
778	3782	1073
779	3786	1067
780	3789	1062
781	3793	1057
782	3797	1052
783	3803	1047
784	3807	1042
785	3813	1038
786	3818	1033
787	3824	1029
788	3830	1024
789	3836	1019
790	3842	1015
791	3845	1009
792	3851	1005
793	3857	1000
794	3863	996
795	3864	990
796	3867	984
797	3870	979
798	3875	975
799	3877	969
800	3880	964
801	3886	959
802	3888	953
803	3890	948
804	3893	943
805	3895	937
806	3901	933
807	3907	928
808	3912	923
809	3918	919
810	3923	914
811	3926	909
812	3932	904
813	3937	899
814	3942	895
815	3948	890
816	3953	885
817	3955	880
818	3961	875
819	3963	870
820	3965	864
821	3968	859
822	3972	854
823	3974	848
824	3976	843
825	3979	838
826	3984	833
827	3986	828
828	3989	822
829	3991	817
830	3998	813
831	4003	808
832	4006	803
833	4011	798
834	4017	793
835	4020	788
836	4025	783
837	4027	778
838	4029	773
839	4035	768
840	4038	763
841	4043	758
842	4048	754
843	4050	748
844	4055	743
845	4061	739
846	4062	733
847	4064	728
848	4067	723
849	4071	718
850	4073	713
851	4079	708
852	4081	703
853	4087	698
854	4093	694
855	4098	689
856	4101	684
857	4104	679
858	4106	674
859	4109	668
860	4112	663
861	4115	658
862	4121	654
863	4123	649
864	4126	644
865	4128	638
866	4134	634
867	4139	629
868	4145	624
869	4147	619
870	4150	614
871	4152	609
872	4155	604
873	4161	599
874	4167	595
875	4169	590
876	4172	585
877	4179	580
878	4184	575
879	4191	571
880	4198	567
881	4204	562
882	4210	557
883	4212	552
884	4218	548
885	4222	543
886	4224	538
887	4227	533
888	4231	528
889	4235	523
890	4238	518
891	4241	513
892	4247	508
893	4252	504
894	4254	499
895	4260	494
896	4266	489
897	4268	484
898	4274	480
899	4279	475
900	4285	470
901	4290	466
902	4293	461
903	4296	456
904	4301	451
905	4306	446
906	4309	441
907	4311	436
908	4317	432
909	4319	427
910	4322	422
911	4327	417
912	4333	412
913	4338	408
914	4342	403
915	4347	398
916	4352	393
917	4355	389
918	4359	384
919	4365	379
920	4372	375
921	4374	370
922	4376	365
923	4382	360
924	4391	356
925	4393	351
926	4395	346
927	4401	341
928	4407	336
929	4409	331
930	4415	327
931	4418	322
932	4422	317
933	4428	312
934	4433	308
935	4439	303
936	4441	298
937	4443	293
938	4446	288
939	4451	284
940	4456	279
941	4462	274
942	4464	269
943	4469	265
944	4473	260
945	4479	255
946	4482	250
947	4488	246
948	4489	241
949	4495	236
950	4498	231
951	4501	226
952	4507	222
953	4512	217
954	4518	212
955	4521	208
956	4523	203
957	4525	198
958	4527	193
959	4531	188
960	4536	184
961	4542	179
962	4545	174
963	4551	169
964	4554	165
965	4559	160
966	4564	155
967	4567	150
968	4569	146
969	4576	141
970	4579	136
971	4584	132
972	4586	127
973	4590	122
974	4596	117
975	4599	113
976	4604	108
977	4607	103
978	4612	98
979	4618	94
980	4621	89
981	4624	84
982	4629	80
983	4635	75
984	4639	70
985	4641	65
986	4644	61
987	4648	56
988	4652	51
989	4655	47
990	4657	42
991	4659	37
992	4665	32
993	4671	28
994	4672	23
995	4678	18
996	4680	14
997	4682	9
998	4687	4
999	4689	0
